id calibrated_magnitude calibrated_error magnitude_rms_error x y alpha_j2000 delta_j2000 fwhm_world flags magnitude observation_id filter original_filter date user_id device_id target fits_id
119500683 16.7462 0.517606794834137 0.127499997615814 2909.22436523438 1634.98449707031 312.876116 44.06212 0.003850593 2.0 16.5472 12845 B TB 2458663.553 64 97 "[118] IC5070_incl_201_V2492Cyg" 12560
21577765 15.0070 0.0601921156048775 0.0094999996945262 2540.76635742188 961.009521484375 312.876151 44.061634 0.001007332 0.0 15.1204 1532 R Red 2457759.23554832 7 2 "[118] IC5070_incl_201_V2492Cyg" 1432
179044574 15.3087 0.246541202068329 0.10530000180006 1578.92846679688 936.784973144531 312.876157 44.062806 0.002504903 0.0 19.3973 29997 V TG 2458998.593 64 124 "[118] IC5070_incl_201_V2492Cyg" 29938
73731642 14.3151 0.0291229784488678 0.00439999997615814 1626.48254394531 3231.97265625 312.876251 44.062333 0.001121481 0.0 14.8268 7534 I I-Band 2458390.31667535 7 2 "[118] IC5070_incl_201_V2492Cyg" 7438
121787703 14.7881 0.220686227083206 0.0368999987840652 2612.5732421875 1838.68200683594 312.87626 44.062804 0.005720579 3.0 15.6910 13146 V TG 2458675.49059 64 97 "[118] IC5070_incl_201_V2492Cyg" 12793
60342064 14.1808 0.0406427308917046 0.00620000017806888 2423.75952148438 827.501220703125 312.876264 44.06222 0.0007665468 0.0 15.1308 4626 I I-Band 2458313.58793692 7 2 "[118] IC5070_incl_201_V2492Cyg" 4468
65078692 15.7970 0.0782890394330025 0.0383000001311302 273.750213623047 1383.49780273438 312.876275 44.061423 0.001652629 0.0 14.4082 5047 V -V- 2458332.3572797 33 56 "[118] IC5070_incl_201_V2492Cyg" 4592
81899201 14.3307 0.0323581695556641 0.00570000009611249 2467.55981445312 866.175598144531 312.876275 44.061625 0.0009652619 0.0 15.1656 8318 I I-Band 2458431.29967448 7 2 "[118] IC5070_incl_201_V2492Cyg" 8144
175344809 15.8121 0.160845249891281 0.0623000003397465 1577.07788085938 876.781372070312 312.876281 44.062642 0.00168055 0.0 17.8361 29559 V TG 2458988.6504 64 124 "[118] IC5070_incl_201_V2492Cyg" 29695
82983482 -98.6400 0.0 -99.0 572.505981445312 1205.90283203125 312.876282 44.061683 0.002832696 256.0 -99.0000 8405 B B 2458430.40930556 31 39 "[118] IC5070_incl_201_V2492Cyg" 8227
51941230 14.2903 0.0259004849940538 0.00340000004507601 1637.30151367188 3226.81079101562 312.876286 44.062706 0.001035663 0.0 14.8047 4105 I I-Band 2458228.6204186 7 2 "[118] IC5070_incl_201_V2492Cyg" 3817
189733209 14.8752 0.150879576802254 0.105700001120567 1562.21105957031 875.081970214844 312.876303 44.062616 0.001608526 0.0 18.1940 31907 V TG 2459041.41797 64 97 "[118] IC5070_incl_201_V2492Cyg" 31202
65055637 14.1625 0.108695894479752 0.0082999998703599 839.63037109375 2776.57666015625 312.876307 44.06175 0.002576202 0.0 13.2271 5036 I SLOAN-I 2458328.45981933 33 50 "[118] IC5070_incl_201_V2492Cyg" 4895
