id calibrated_magnitude calibrated_error magnitude_rms_error x y alpha_j2000 delta_j2000 fwhm_world flags magnitude observation_id filter original_filter date user_id device_id target fits_id
157901959 15.9468 0.07274229824543 0.0258000008761883 2109.90600585938 1625.75073242188 312.755689 44.260768 0.003400077 0.0 15.7621 23915 V Visual 2458877.26153501 7 2 "[118] IC5070_incl_201_V2492Cyg" 25838
68911857 14.3734 0.114608280360699 0.0107000004500151 726.341125488281 962.783325195312 312.756257 44.260777 0.004735039 0.0 13.3676 6571 I -SI- 2458370.34673868 33 56 "[118] IC5070_incl_201_V2492Cyg" 6460
9712719 16.3896 0.0909094214439392 0.0132999997586012 1925.13720703125 2513.876953125 312.757468 44.260779 0.0008907407 3.0 15.6094 771 R Red 2457615.38766493 7 2 "[118] IC5070_incl_201_V2492Cyg" 717
69518711 14.0960 0.0584152862429619 0.0315000005066395 274.660003662109 380.768188476562 312.75694 44.260781 0.003053437 0.0 15.0650 6807 I "I BAND" 2458373.39875 35 41 "[118] IC5070_incl_201_V2492Cyg" 6675
82546481 14.5852 0.0536071173846722 0.00930000003427267 2103.73852539062 1601.77526855469 312.75638 44.260781 0.0008339129 3.0 15.6960 8360 I I-Band 2458437.24327836 7 2 "[118] IC5070_incl_201_V2492Cyg" 8184
86875406 15.3509 0.047948781400919 0.00879999995231628 2128.53637695312 1692.48962402344 312.75561 44.260783 0.001095136 3.0 14.8833 9299 R Red 2458512.25781085 7 2 "[118] IC5070_incl_201_V2492Cyg" 9121
13430744 16.5197 0.104167431592941 0.0125000001862645 1933.70153808594 2505.63232421875 312.757404 44.260795 0.0009268406 3.0 15.8406 958 R Red 2457641.37733796 7 2 "[118] IC5070_incl_201_V2492Cyg" 900
66871330 15.9114 0.0858652293682098 0.0377000011503696 720.2421875 940.619018554688 312.755886 44.260803 0.003218968 0.0 14.2875 5876 V -V- 2458350.3416081 33 56 "[118] IC5070_incl_201_V2492Cyg" 5622
21579358 15.5120 0.0745100751519203 0.0138999996706843 2210.087890625 1709.81689453125 312.7554 44.260807 0.001009122 3.0 15.6185 1532 R Red 2457759.23554832 7 2 "[118] IC5070_incl_201_V2492Cyg" 1432
37402209 16.4267 0.100962422788143 0.0111999996006489 1943.67224121094 2501.55859375 312.757394 44.26081 0.0008226929 3.0 15.7305 2963 R Red 2458019.31149016 7 2 "[118] IC5070_incl_201_V2492Cyg" 2689
83744101 14.5262 0.0601626113057137 0.0122999995946884 2083.72265625 1622.02648925781 312.756391 44.260811 0.0009448297 3.0 15.7427 8603 I I-Band 2458444.32733362 7 2 "[118] IC5070_incl_201_V2492Cyg" 8422
16940080 15.3749 0.0615460574626923 0.0059000002220273 2157.84228515625 1654.66149902344 312.756298 44.260825 0.0008587805 3.0 14.8205 1143 R Red 2457688.30135545 7 2 "[118] IC5070_incl_201_V2492Cyg" 1091
36110307 14.5555 0.035904236137867 0.00430000014603138 2171.892578125 1591.83032226562 312.756367 44.260826 0.001035777 3.0 14.9944 2902 I I-Band 2458011.43803241 7 2 "[118] IC5070_incl_201_V2492Cyg" 2639
70938066 14.5499 0.0476401820778847 0.0059000002220273 2108.404296875 1600.46069335938 312.756117 44.260828 0.0008750056 3.0 15.2090 7098 I I-Band 2458380.37536169 7 2 "[118] IC5070_incl_201_V2492Cyg" 7076
148169634 15.8343 0.212777972221375 0.0526000000536442 2626.13720703125 1410.33605957031 312.756684 44.260831 0.003964 0.0 16.1596 18015 V TG 2458795.40713 64 97 "[118] IC5070_incl_201_V2492Cyg" 18942
172221838 16.2180 0.187766507267952 0.0480000004172325 3028.87915039062 1788.01770019531 312.756109 44.260833 0.002738671 2.0 26.5584 28823 V Green 2458981.47916667 58 144 "[118] IC5070_incl_201_V2492Cyg" 29516
14687667 16.1966 0.0761868879199028 0.0131999999284744 2158.65600585938 1653.57104492188 312.75649 44.260834 0.001084098 3.0 15.8126 1024 V Visual 2457664.34864294 7 2 "[118] IC5070_incl_201_V2492Cyg" 969
118409819 16.3219 0.216084092855453 0.0537000000476837 733.060974121094 985.163391113281 312.755916 44.260834 0.001681 2.0 14.9969 12681 V -SG- 2458349.34387174 33 56 "[118] IC5070_incl_201_V2492Cyg" 5593
66265746 16.3613 0.169921919703484 0.0443000011146069 659.667419433594 793.555480957031 312.756294 44.260837 0.001191392 0.0 16.4868 5523 V -SG- 2458345.561786 47 64 "[118] IC5070_incl_201_V2492Cyg" 5414
69121012 14.2801 0.116385750472546 0.00839999970048666 703.714111328125 955.152282714844 312.756272 44.260837 0.003406937 0.0 13.3034 6596 I -SI- 2458371.36488642 33 56 "[118] IC5070_incl_201_V2492Cyg" 6641
46882019 14.6107 0.0320323444902897 0.0063999998383224 2162.06518554688 1676.08813476562 312.75677 44.260838 0.001286099 3.0 14.9931 3691 I I-Band 2458138.25288629 7 2 "[118] IC5070_incl_201_V2492Cyg" 3465
64359002 15.3562 0.0716746747493744 0.011400000192225 2104.95092773438 1601.34692382812 312.756039 44.260841 0.001237623 3.0 15.6740 4826 R Red 2458336.59583848 7 2 "[118] IC5070_incl_201_V2492Cyg" 4714
91519420 15.2383 0.178412169218063 0.049100000411272 2264.30859375 1632.62939453125 312.75615 44.260842 0.002994387 0.0 14.8657 8345 R Red 2458437.31200231 60 90 "[118] IC5070_incl_201_V2492Cyg" 8169
41233567 14.4619 0.0553903430700302 0.008500000461936 2266.77099609375 1597.60461425781 312.756741 44.260844 0.0009175286 3.0 14.9861 3207 I I-Band 2458063.29103877 7 2 "[118] IC5070_incl_201_V2492Cyg" 2911
67835172 14.2133 0.0828952044248581 0.00899999961256981 419.921691894531 32.1242980957031 312.756759 44.260846 0.003305687 0.0 13.8386 6165 I I 2458357.42740741 40 49 "[118] IC5070_incl_201_V2492Cyg" 5872
125706741 15.3442 0.265161544084549 0.0500999987125397 2130.4091796875 1580.55810546875 312.7563 44.260847 0.001266034 0.0 18.2512 13586 HA H-alpha 2458707.57217998 7 2 "[118] IC5070_incl_201_V2492Cyg" 13213
16484617 14.5267 0.0670146718621254 0.00620000017806888 2130.33178710938 1664.26708984375 312.756452 44.260848 0.001188844 3.0 14.9719 1118 I I-Band 2457680.31440393 7 2 "[118] IC5070_incl_201_V2492Cyg" 1066
67118907 16.0567 0.185891851782799 0.0608000010251999 729.461486816406 951.026916503906 312.755937 44.26085 0.002414146 0.0 15.6082 5962 V -SG- 2458352.39102981 33 56 "[118] IC5070_incl_201_V2492Cyg" 5704
65873067 14.3255 0.115542337298393 0.0105999996885657 411.211303710938 82.2240982055664 312.756724 44.260851 0.003397067 0.0 14.2173 5319 I I 2458329.45195602 40 49 "[118] IC5070_incl_201_V2492Cyg" 5304
70156628 15.9533 0.0811670050024986 0.0498000010848045 699.307006835938 916.552429199219 312.755588 44.260855 0.003113008 0.0 14.2547 7060 V -V- 2458381.45055652 33 56 "[118] IC5070_incl_201_V2492Cyg" 7074
171199155 17.4216 0.212488457560539 0.142199993133545 2052.79663085938 2565.22314453125 312.755624 44.260856 0.001545395 0.0 18.2334 28669 B Blue 2458975.57833449 7 2 "[118] IC5070_incl_201_V2492Cyg" 28002
43691732 14.1888 0.0390188656747341 0.0141000002622604 2109.88330078125 1597.53137207031 312.756431 44.260858 0.003359733 0.0 14.4227 3389 I I-Band 2458086.23295139 7 2 "[118] IC5070_incl_201_V2492Cyg" 3059
43735577 15.0390 0.041500560939312 0.0120000001043081 2108.83764648438 1596.48449707031 312.756746 44.260858 0.003251408 0.0 14.3337 3390 R Red 2458086.23384259 7 2 "[118] IC5070_incl_201_V2492Cyg" 3060
171180576 16.0509 0.140181556344032 0.0395999997854233 2055.15551757812 2565.29467773438 312.756063 44.260858 0.0008543977 0.0 16.9604 28671 V Visual 2458975.57582755 7 2 "[118] IC5070_incl_201_V2492Cyg" 28005
68006521 14.7185 0.0475893281400204 0.00980000011622906 2165.8662109375 1608.27270507812 312.755978 44.26086 0.0008737404 3.0 15.5829 6261 I I-Band 2458360.49699219 7 2 "[118] IC5070_incl_201_V2492Cyg" 5962
20286971 14.5733 0.0399030819535255 0.00540000014007092 2174.59692382812 1668.93395996094 312.75593 44.260862 0.0008576321 3.0 15.0573 1441 I I-Band 2457723.23898872 7 2 "[118] IC5070_incl_201_V2492Cyg" 1344
