# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,
# Mon Jun 27 08:12:38 2022,,,,,,,,
#,,,,,,,,
# User preference: *,,,,,,,,
#,,,,,,,,
# COLUMN tic_id:         TIC ID,,,,,,,,
# COLUMN pl_orbper:      Orbital Period [days],,,,,,,,
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days],,,,,,,,
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days],,,,,,,,
# COLUMN pl_orbperlim:   Orbital Period Limit Flag,,,,,,,,
# COLUMN pl_orbtper:     Epoch of Periastron [days],,,,,,,,
# COLUMN pl_orbtpererr1: Epoch of Periastron Upper Unc. [days],,,,,,,,
# COLUMN pl_orbtpererr2: Epoch of Periastron Lower Unc. [days],,,,,,,,
# COLUMN pl_orbtperlim:  Epoch of Periastron Limit Flag,,,,,,,,
#,,,,,,,,
tic_id,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim
TIC 72437047,326.03,0.32,-0.32,0,2452899.6,1.6,-1.6,0
TIC 72437047,,,,,,,,
TIC 230061010,,,,,,,,
TIC 230061010,516.21997,3.2,-3.2,0,,,,
TIC 230061010,516.22,3.25,-3.25,0,2452861.04,2.06,-2.06,0
TIC 333225860,,,,,,,,
TIC 333225860,185.84,0.23,-0.23,0,2452861.4,1.5,-1.5,0
TIC 219483057,1766.41,0.67,-0.68,0,,,,
TIC 219483057,1724,50,-50,0,2451353,30,-30,0
TIC 219483057,1766,,,0,,,,
TIC 219483057,,,,,,,,
TIC 219483057,1773.4,2.5,-2.5,0,2451372.7,3.6,-3.6,0
TIC 219483057,1773.40002,2.5,-2.5,0,,,,
TIC 219483057,1796.4,8.3,-8.3,0,2449582,12.4,-12.4,0
TIC 27533327,800.8,11.7,-11.7,0,2448935.3,12,-12,0
TIC 27533327,798.5,1,-1,0,,,,
TIC 27533327,799.5,0.6,-0.6,0,2450539.3,1.6,-1.6,0
TIC 27533327,798.5,1,-1,0,2446549.1,6.6,-6.6,0
TIC 27533327,799.45,0.15,-0.15,0,,,,
TIC 27533327,799.5,0.6,-0.6,0,2450539.3,1.6,-1.6,0
TIC 135596590,578.38,2.01,-2.09,0,2453294.41,174.23,-182.91,0
TIC 354489950,993.3,3.2,-3.2,0,2451672,18,-18,0
TIC 354489950,,,,,,,,
TIC 48964101,,,,,,,,
TIC 48964101,,,,,,,,
TIC 48964101,,,,,,,,
TIC 48964101,,,,,,,,
TIC 441712711,30.3506,0.0078,-0.0077,0,2450008.6,10.1,-7.9,0
TIC 1713457,452.8,2.1,-4.5,0,2454762,67.3,-172.3,0
TIC 1713457,883,32.4,-13.8,0,2454930,209.9,-96.5,0
TIC 125843782,,,,,,,,
TIC 206502540,,,,,,,,
TIC 11614485,,,,,,,,
TIC 11614485,,,,,,,,
TIC 77111651,,,,,,,,
TIC 118893899,,,,,,,,
TIC 102076870,,,,,,,,
TIC 102076870,,,,,,,,
TIC 271164763,406,4,-4,0,2455131,11,-11,0
TIC 271164763,416,2,-2,0,,,,
TIC 301728657,7336.5,1934.5,-584,0,,,,
TIC 200532605,,,,,,,,
TIC 22874788,345.4,3.8,-3.8,0,2453222.1,42.4,-42.4,0
TIC 22874788,335.1,2.5,-2.5,0,2454538,20,-20,0
TIC 22874788,335.10001,2.5,-2.5,0,,,,
TIC 356478817,269.3,1.96,-1.96,0,2452987.394,4.31,-4.31,0
TIC 233721425,479.1,6.2,-6.2,0,2452757.4,3.7,-3.7,0
TIC 21535479,1083.2,1.8,-1.8,0,2450173,65,-65,0
TIC 21535479,1100.8,7.2,-7.2,0,2452915,64,-64,0
TIC 21535479,1078,2,-2,0,2451917,63,-76,0
TIC 21535479,1076.6,1.3,-1.1,0,,,,
TIC 21535479,1076.6,2.3,-2.3,0,2449222,347,-347,0
TIC 21535479,7586,727,-727,0,2452134,146,-146,0
TIC 21535479,2287,19,-16,0,,,,
TIC 21535479,2391,100,-87,0,2452441,628,-825,0
TIC 21535479,14002,4018,-5095,0,2451736,6783,-5051,0
TIC 21535479,19000,11000,-4000,0,,,,
TIC 298810162,14965,12775,-4380,0,2456946.4,4135.1,-4194.3,0
TIC 298810162,,,,,,,,
TIC 298810162,11688,6209.25,-3287.25,0,2455563,5844,-1826,0
TIC 139298196,4.2307969,0.0000073,-0.0000078,0,,,,
TIC 139298196,4.231,,,0,2456021.256,,,0
TIC 139298196,4.23077,0.00004,-0.00004,0,2452497,0.022,-0.022,0
TIC 139298196,4.230785,0.000036,-0.000036,0,2450001.51,0.61,-0.61,0
TIC 139298196,4.2293,0.0011,-0.0011,0,2449797.773,0.036,-0.036,0
TIC 332064670,14.65171,0.000053,-0.000052,0,,,,
TIC 332064670,14.6,,,0,,,,
TIC 332064670,14.647,0.001,-0.001,0,2450000.8,0.48,-0.48,0
TIC 332064670,14.67,0.01,-0.01,0,2453021.08,0.01,-0.01,0
TIC 332064670,14.465314,0.0009,-0.00095,0,,,,
TIC 332064670,14.65152,0.00015,-0.00015,0,,,,
TIC 332064670,14.653,0.0006,-0.0006,0,2450001.479,,,0
TIC 332064670,14.648,0.0009,-0.0009,0,,,,
TIC 332064670,14.65162,0.0007,-0.0007,0,2450002.947,1.2,-1.2,0
TIC 332064670,14.6516,0.0001,-0.0001,0,,,,
TIC 332064670,14.651,0.0001,-0.0001,0,2453035,2.2,-2.2,0
TIC 332064670,14.65126,0.0007,-0.0007,0,2447572,1.2,-1.2,0
TIC 332064670,44.3989,0.0042,-0.0043,0,,,,
TIC 332064670,44.3446,0.007,-0.007,0,2449989.339,3.3,-3.3,0
TIC 332064670,44.3827,0.0038,-0.0038,0,,,,
TIC 332064670,44.38,0.007,-0.007,0,2453083,3,-3,0
TIC 332064670,44.373,0.02,-0.018,0,,,,
TIC 332064670,44.4175,0.0073,-0.0073,0,,,,
TIC 332064670,43.93,0.25,-0.25,0,2453028.63,0.25,-0.25,0
TIC 332064670,44.3787,0.007,-0.007,0,2447547.5,3.3,-3.3,0
TIC 332064670,4867,25,-26,0,,,,
TIC 332064670,5574.2,93.8,-88.6,0,,,,
TIC 332064670,4909,30,-30,0,2453490,437,-437,0
TIC 332064670,4825,39,-39,0,,,,
TIC 332064670,5218,230,-230,0,2452500.6,230,-230,0
TIC 332064670,5360,400,-400,0,2452785,250,-250,0
TIC 332064670,4820,77,-72,0,,,,
TIC 332064670,5370,230,-230,0,2446860,230,-230,0
TIC 332064670,4517.4,77.8,-77.8,0,2452837.69,68.87,-68.87,0
TIC 332064670,4545,1421,-1421,0,2450568,200,-200,0
TIC 332064670,0.7365417,0.0000025,-0.0000028,0,,,,
TIC 332064670,2.79674,0.0001,-0.0001,0,2447578.216,0.0001,-0.0001,0
TIC 332064670,,,,,,,,
TIC 332064670,2.808,0.002,-0.002,0,2453295.31,0.32,-0.32,0
TIC 332064670,,,,,,,,
TIC 332064670,0.7365437,0.0000052,-0.0000052,0,,,,
TIC 332064670,0.7365515,0.0000015,-0.0000015,0,,,,
TIC 332064670,0.7365478,0.0000016,-0.0000012,0,,,,
TIC 332064670,0.73654,0.000003,-0.000003,0,,,,
TIC 332064670,0.736546,0.000003,-0.000003,0,,,,
TIC 332064670,0.736539,0.000007,-0.000007,0,,,,
TIC 332064670,0.7365445,0.0000014,-0.0000015,0,,,,
TIC 332064670,0.7365474,0.0000013,-0.0000014,0,,,,
