# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Jun 29 08:07:35 2022
#
# User preference: *
#
# CONSTRAINT:  where (tfopwg_disp like '%FA%')
#
# COLUMN tid:            TESS Input Catalog ID
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC)
# COLUMN st_tmag:        TESS Magnitude
# COLUMN st_tmagerr1:    TESS Magnitude Upper Unc
# COLUMN st_tmagerr2:    TESS Magnitude Lower Unc
# COLUMN st_tmaglim:     TESS Magnitude Limit Flag
#
tid,tfopwg_disp,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim
259863352,FA,7.1278000,0.006,-0.006,0
343648136,FA,10.4613000,0.006,-0.006,0
237184773,FA,8.0348000,0.006,-0.006,0
233059608,FA,6.8950000,0.006,-0.006,0
43064903,FA,12.5405000,0.007,-0.007,0
153949511,FA,9.7677500,0.006,-0.006,0
176957796,FA,10.7020000,0.006,-0.006,0
276360911,FA,9.6242600,0.006,-0.006,0
224600500,FA,6.7675400,0.007,-0.007,0
459978312,FA,5.2890600,0.006,-0.006,0
198457103,FA,8.0702300,0.006,-0.006,0
367607434,FA,8.4034800,0.006,-0.006,0
229951289,FA,10.2572000,0.006,-0.006,0
165551882,FA,12.5441000,0.007,-0.007,0
387527558,FA,13.0367000,0.007,-0.007,0
459903429,FA,8.7128900,0.006,-0.006,0
310981412,FA,10.2728000,0.006,-0.006,0
237108272,FA,9.3030010,0.006,-0.006,0
341815767,FA,8.9801800,0.006,-0.006,0
41173048,FA,9.2225000,0.006,-0.006,0
259962054,FA,12.2423000,0.007,-0.007,0
159244568,FA,11.0372000,0.006,-0.006,0
394029948,FA,9.6990200,0.006,-0.006,0
75656058,FA,10.8181000,0.006,-0.006,0
326453034,FA,10.2733000,0.007,-0.007,0
100504381,FA,8.5650000,0.017,-0.017,0
376168473,FA,10.7870000,0.019,-0.019,0
441798995,FA,11.9521000,0.007,-0.007,0
160074939,FA,8.7435000,0.006,-0.006,0
321068176,FA,11.2711000,0.006,-0.006,0
684936227,FA,11.9755000,0.006,-0.006,0
49687222,FA,9.8343000,0.006,-0.006,0
234282389,FA,13.5294000,0.006,-0.006,0
29781292,FA,8.9387000,0.006,-0.006,0
233831759,FA,11.1710000,0.225,-0.225,0
87597187,FA,12.8780000,0.019,-0.019,0
71134735,FA,13.0410000,0.019,-0.019,0
8677530,FA,12.0330000,0.018,-0.018,0
55748194,FA,12.2930000,0.019,-0.019,0
68035558,FA,11.4830000,0.000,0.000,0
20303110,FA,11.2080000,0.018,-0.018,0
452972453,FA,12.7530000,0.019,-0.019,0
390048041,FA,12.7150000,0.018,-0.018,0
10974783,FA,11.8520000,0.201,-0.201,0
224601047,FA,13.1090000,0.018,-0.018,0
229976631,FA,11.0240000,0.018,-0.018,0
459952217,FA,8.2210900,0.006,-0.006,0
143022742,FA,12.5310000,0.007,-0.007,0
143022742,FA,12.5310000,0.007,-0.007,0
62301521,FA,13.7827000,0.008,-0.008,0
376981340,FA,12.8060000,0.038,-0.038,0
103604037,FA,10.5710000,0.018,-0.018,0
93125144,FA,9.6833000,0.006,-0.006,0
365690646,FA,10.0940000,0.006,-0.006,0
161477033,FA,10.0614000,0.006,-0.006,0
344926234,FA,9.1299000,0.006,-0.006,0
286132427,FA,8.1075000,0.006,-0.006,0
78154865,FA,8.9225000,0.006,-0.006,0
320417762,FA,9.0188000,0.007,-0.007,0
458589703,FA,11.2248000,0.006,-0.006,0
150151262,FA,9.9059000,0.006,-0.006,0
150247134,FA,11.4845000,0.006,-0.006,0
219401954,FA,9.6470000,0.006,-0.006,0
277099925,FA,10.7210000,0.600,-0.600,0
125405602,FA,11.1825000,0.007,-0.007,0
381976956,FA,9.0099000,0.006,-0.006,0
200807066,FA,8.9043000,0.006,-0.006,0
219380235,FA,10.8239000,0.006,-0.006,0
102283403,FA,9.0895900,0.006,-0.006,0
245947683,FA,10.2098000,0.006,-0.006,0
